world,rep,contrast,shifted,primary_call,rule_diverging,rule_equivalent
invariant_lam_low,11,eu:EAST-WEST,False,equivalent,False,True
invariant_lam_low,11,environment:EAST-WEST,False,equivalent,False,False
invariant_lam_low,11,decentralization:EAST-WEST,False,inconclusive,False,False
invariant_lam_low,12,immigration:RR-CON,False,inconclusive,False,False
invariant_lam_low,12,immigration:RR-CD,False,equivalent,False,False
invariant_lam_low,12,environment:ECO-SD,False,inconclusive,False,False
invariant_lam_low,12,taxspend:SOC-CON,False,equivalent,False,False
invariant_lam_low,12,social:RR-LIB,False,inconclusive,False,False
invariant_lam_low,12,taxspend:EAST-WEST,False,equivalent,False,True
invariant_lam_low,12,social:EAST-WEST,False,equivalent,False,True
invariant_lam_low,12,immigration:EAST-WEST,False,equivalent,False,False
invariant_lam_low,12,eu:EAST-WEST,False,equivalent,False,True
invariant_lam_low,12,environment:EAST-WEST,False,inconclusive,False,False
invariant_lam_low,12,decentralization:EAST-WEST,False,inconclusive,False,False
invariant_lam_low,13,immigration:RR-CON,False,inconclusive,False,False
invariant_lam_low,13,immigration:RR-CD,False,inconclusive,False,False
invariant_lam_low,13,environment:ECO-SD,False,inconclusive,False,False
invariant_lam_low,13,taxspend:SOC-CON,False,inconclusive,False,False
invariant_lam_low,13,social:RR-LIB,False,inconclusive,False,False
invariant_lam_low,13,taxspend:EAST-WEST,False,equivalent,False,True
invariant_lam_low,13,social:EAST-WEST,False,equivalent,False,True
invariant_lam_low,13,immigration:EAST-WEST,False,inconclusive,False,False
invariant_lam_low,13,eu:EAST-WEST,False,equivalent,False,True
invariant_lam_low,13,environment:EAST-WEST,False,equivalent,False,True
invariant_lam_low,13,decentralization:EAST-WEST,False,inconclusive,False,False
invariant_lam_low,14,immigration:RR-CON,False,inconclusive,False,False
invariant_lam_low,14,immigration:RR-CD,False,inconclusive,False,False
invariant_lam_low,14,environment:ECO-SD,False,inconclusive,False,False
invariant_lam_low,14,taxspend:SOC-CON,False,inconclusive,False,False
invariant_lam_low,14,social:RR-LIB,False,inconclusive,False,False
invariant_lam_low,14,taxspend:EAST-WEST,False,equivalent,False,True
invariant_lam_low,14,social:EAST-WEST,False,equivalent,False,True
invariant_lam_low,14,immigration:EAST-WEST,False,equivalent,False,False
invariant_lam_low,14,eu:EAST-WEST,False,equivalent,False,True
invariant_lam_low,14,environment:EAST-WEST,False,equivalent,False,True
invariant_lam_low,14,decentralization:EAST-WEST,False,inconclusive,False,False
invariant_lam_low,15,immigration:RR-CON,False,equivalent,False,False
invariant_lam_low,15,immigration:RR-CD,False,inconclusive,False,False
invariant_lam_low,15,environment:ECO-SD,False,inconclusive,False,False
invariant_lam_low,15,taxspend:SOC-CON,False,inconclusive,False,False
invariant_lam_low,15,social:RR-LIB,False,inconclusive,False,False
invariant_lam_low,15,taxspend:EAST-WEST,False,equivalent,False,True
invariant_lam_low,15,social:EAST-WEST,False,equivalent,False,True
invariant_lam_low,15,immigration:EAST-WEST,False,equivalent,False,True
invariant_lam_low,15,eu:EAST-WEST,False,inconclusive,False,False
invariant_lam_low,15,environment:EAST-WEST,False,equivalent,False,True
invariant_lam_low,15,decentralization:EAST-WEST,False,inconclusive,False,False
invariant_lam_low,16,immigration:RR-CON,False,inconclusive,False,False
invariant_lam_low,16,immigration:RR-CD,False,inconclusive,False,False
