stat,estimate,se,lo90,hi90,lo95,hi95,null_centre,p_family,sesoi,call,area,model,paraphrase,invalid_rate,human_min,human_max,exceeds_human_range
sens_diff:2,0.0245,0.0219,-0.0105,0.0586,-0.0193,0.0635,-0.0017,0.404,0.05,inconclusive,social,ibm-granite/granite-3.3-8b-instruct,a,0.0,-0.0822,0.1169,False
fpr_diff:2,-0.0204,0.0222,-0.0572,0.0145,-0.0668,0.0214,0.0013,0.068,0.05,inconclusive,social,ibm-granite/granite-3.3-8b-instruct,a,0.0,-0.013,0.0192,True
delta_pp:1,-5.5375,2.433,-9.2055,-1.4192,-9.7826,-0.583,0.0453,0.0,3.0,non-equivalent,social,microsoft/Phi-3.5-mini-instruct,a,0.0,-3.8927,2.9036,True
sens_diff:1,-0.0013,0.0289,-0.0519,0.048,-0.0571,0.0553,0.0004,1.0,0.05,inconclusive,social,microsoft/Phi-3.5-mini-instruct,a,0.0,-0.1203,0.1374,False
fpr_diff:1,-0.0632,0.0278,-0.1057,-0.0155,-0.1109,-0.0059,0.0005,0.0,0.05,non-equivalent,social,microsoft/Phi-3.5-mini-instruct,a,0.0,-0.0385,0.0202,True
delta_pp:2,-0.2781,1.8155,-3.1131,2.8204,-3.8159,3.295,0.0517,0.892,3.0,inconclusive,social,microsoft/Phi-3.5-mini-instruct,a,0.0,-1.5173,1.7696,False
sens_diff:2,0.0575,0.0301,0.0045,0.0995,-0.0039,0.1068,-0.001,0.01,0.05,inconclusive,social,microsoft/Phi-3.5-mini-instruct,a,0.0,-0.0822,0.1169,False
fpr_diff:2,-0.0118,0.0221,-0.0463,0.0249,-0.0546,0.0353,0.0007,0.516,0.05,equivalent,social,microsoft/Phi-3.5-mini-instruct,a,0.0,-0.013,0.0192,False
delta_pp:1,-6.9703,2.5472,-11.2613,-3.1543,-11.9932,-2.3154,-0.0142,0.0,3.0,non-equivalent,social,mistralai/Mistral-7B-Instruct-v0.3,a,0.0,-3.8927,2.9036,True
sens_diff:1,0.0029,0.0071,-0.0088,0.0145,-0.01,0.017,-0.0004,0.984,0.05,equivalent,social,mistralai/Mistral-7B-Instruct-v0.3,a,0.0,-0.1203,0.1374,False
fpr_diff:1,-0.0803,0.0289,-0.1297,-0.0379,-0.1373,-0.0274,-0.0001,0.0,0.05,non-equivalent,social,mistralai/Mistral-7B-Instruct-v0.3,a,0.0,-0.0385,0.0202,True
delta_pp:2,-1.2221,1.9701,-4.5409,2.048,-5.1139,2.5774,0.0137,0.22,3.0,inconclusive,social,mistralai/Mistral-7B-Instruct-v0.3,a,0.0,-1.5173,1.7696,False
sens_diff:2,0.0099,0.008,-0.0033,0.0232,-0.0054,0.0254,-0.001,0.532,0.05,equivalent,social,mistralai/Mistral-7B-Instruct-v0.3,a,0.0,-0.0822,0.1169,False
fpr_diff:2,-0.0152,0.0226,-0.0521,0.0211,-0.059,0.029,0.0003,0.316,0.05,inconclusive,social,mistralai/Mistral-7B-Instruct-v0.3,a,0.0,-0.013,0.0192,True
